p2q,latency_s,U_single,U_cut,U_teleport,best_mode
0.004,1e-06,0.04860016170306697,-0.02406584172973847,-0.04049601062573044,single
0.004,1.7012542798525892e-06,-0.0057577046401837695,-0.1715495431796009,-0.04143631715163347,single
0.004,2.894266124716752e-06,0.09244712093623017,-0.02406584172973847,-0.09071173003006439,single
0.004,4.923882631706742e-06,0.09244712093623017,-0.013563778896347994,0.05250897302127164,single
0.004,8.376776400682924e-06,0.04860016170306697,-0.10052859272715133,-0.05913791533382291,single
0.004,1.4251026703029993e-05,0.09244712093623017,-0.013563778896347994,-0.06545057695603745,single
0.004,2.424462017082331e-05,0.04860016170306697,-0.02406584172973847,-0.10420481883445946,single
0.004,4.124626382901348e-05,-0.049994570222698584,-0.02406584172973847,-0.11266066207245828,cut
0.004,7.017038286703837e-05,-0.04999457022269854,-0.02406584172973847,-0.1468678563712961,cut
0.004,0.00011937766417144369,0.04860016170306697,-0.02406584172973847,-0.13234307624817546,single
0.004,0.00020309176209047368,0.09244712093623017,-0.02406584172973847,-0.14084487623710745,single
0.004,0.0003455107294592222,-0.12104077922100204,-0.013563778896347994,-0.147754989351605,cut
0.004,0.0005878016072274912,-0.12104077922100204,-0.02406584172973847,-0.14972635893396982,cut
0.004,0.001,0.04860016170306697,-0.02406584172973847,-0.15103287848052446,single
0.005090909090909091,1e-06,-0.049994570222698584,-0.18961190526580238,-0.08933256459265254,single
0.005090909090909091,1.7012542798525892e-06,0.04860016170306697,-0.07916553133944981,0.14387164062749042,teleport
0.005090909090909091,2.894266124716752e-06,0.09244712093623023,-0.02406584172973847,-0.04301780227037823,single
0.005090909090909091,4.923882631706742e-06,0.04860016170306697,-0.02406584172973847,-0.08094216650386832,single
0.005090909090909091,8.376776400682924e-06,0.04860016170306697,-0.013563778896347994,-0.094525810906473,single
0.005090909090909091,1.4251026703029993e-05,0.09244712093623017,-0.02406584172973847,-0.09833321596152764,single
0.005090909090909091,2.424462017082331e-05,0.09244712093623017,-0.02406584172973847,-0.0953983976089944,single
0.005090909090909091,4.124626382901348e-05,0.027570501312607743,-0.013563778896347994,-0.11266066207245828,single
0.005090909090909091,7.017038286703837e-05,0.09244712093623023,-0.02406584172973847,-0.11855706059707209,single
0.005090909090909091,0.00011937766417144369,0.04860016170306697,0.08332979145523081,-0.12390432367173883,cut
0.005090909090909091,0.00020309176209047368,-0.1184237289301181,-0.030001244886509792,-0.14084487623710745,cut
0.005090909090909091,0.0003455107294592222,0.027570501312607743,-0.02406584172973847,-0.14508493171606465,single
0.005090909090909091,0.0005878016072274912,0.027570501312607743,-0.013563778896347994,-0.1497582144121988,single
0.005090909090909091,0.001,-0.12104077922100204,-0.02406584172973847,-0.15103283404433576,cut
0.006181818181818182,1e-06,-0.0057577046401836585,-0.21160092765865285,-0.07755679919038494,single
0.006181818181818182,1.7012542798525892e-06,0.027570501312607743,-0.02406584172973847,-0.08984681021985891,single
0.006181818181818182,2.894266124716752e-06,0.027570501312607743,-0.02406584172973847,-0.09071173003006439,single
0.006181818181818182,4.923882631706742e-06,-0.0057577046401836585,-0.02406584172973847,-0.1287609461001962,single
0.006181818181818182,8.376776400682924e-06,-0.0057577046401836585,-0.17795416736053635,-0.04999120315693259,single
0.006181818181818182,1.4251026703029993e-05,0.027570501312607743,-0.02406584172973847,-0.056951398642867065,single
0.006181818181818182,2.424462017082331e-05,-0.049994570222698584,-0.02406584172973847,-0.05847473568472118,cut
0.006181818181818182,4.124626382901348e-05,0.09244712093623017,-0.0506012078667378,-0.10554022834671417,single
0.006181818181818182,7.017038286703837e-05,-0.0057577046401836585,-0.08541704074158554,-0.10717154777739658,single
0.006181818181818182,0.00011937766417144369,-0.05762420093790259,-0.013563778896347994,-0.12618821792039847,cut
0.006181818181818182,0.00020309176209047368,0.027570501312607743,-0.11761486179467874,-0.14004279309675624,single
0.006181818181818182,0.0003455107294592222,-0.05762420093790259,0.1798389984594814,-0.14761975965772728,cut
0.006181818181818182,0.0005878016072274912,-0.049994570222698584,-0.14609227863131313,-0.14972635893396982,single
0.006181818181818182,0.001,0.09244712093623017,-0.013563778896347994,-0.1510322863433327,single
0.007272727272727273,1e-06,-0.1184237289301181,-0.013563778896347994,-0.07736012409500549,cut
0.007272727272727273,1.7012542798525892e-06,0.027570501312607743,-0.02406584172973847,-0.05137907557732033,single
0.007272727272727273,2.894266124716752e-06,0.027570501312607743,-0.02406584172973847,0.019657712648042946,single
0.007272727272727273,4.923882631706742e-06,0.09244712093623017,0.04362129422327379,-0.04565534736592433,single
0.007272727272727273,8.376776400682924e-06,0.027570501312607743,-0.19481655251197275,-0.12144997922659023,single
0.007272727272727273,1.4251026703029993e-05,0.09244712093623017,-0.02406584172973847,-0.14422821830833785,single
0.007272727272727273,2.424462017082331e-05,0.027570501312607743,-0.02406584172973847,-0.10420481883445946,single
0.007272727272727273,4.124626382901348e-05,-0.0057577046401836585,-0.013563778896347994,-0.11266066207245828,single
0.007272727272727273,7.017038286703837e-05,-0.12104077922100204,0.1820119398421632,-0.11514700932659735,cut
0.007272727272727273,0.00011937766417144369,-0.11842372893011811,-0.11761486179467874,-0.142075490478259,cut
0.007272727272727273,0.00020309176209047368,0.027570501312607743,-0.02406584172973847,-0.1448490772547828,single
0.007272727272727273,0.0003455107294592222,-0.11842372893011811,-0.02406584172973847,-0.14906296891062598,cut
0.007272727272727273,0.0005878016072274912,0.04860016170306697,-0.02406584172973847,-0.1497505332265309,single
0.007272727272727273,0.001,-0.12104077922100204,-0.02406584172973847,-0.15103287848052446,cut
0.008363636363636365,1e-06,-0.11842372893011811,-0.02406584172973847,-0.147618356796258,cut
0.008363636363636365,1.7012542798525892e-06,0.04860016170306697,-0.06179885227851975,-0.08984681021985891,single
0.008363636363636365,2.894266124716752e-06,-0.05762420093790259,-0.02406584172973847,-0.07223436371569918,cut
0.008363636363636365,4.923882631706742e-06,0.09244712093623017,-0.02406584172973847,-0.03193515817294652,single
